# table	key	category	description	command
prefix	V	buffer	list buffers	bind-key    -T prefix V       list-buffers
prefix	Y	buffer	capture pane	bind-key    -T prefix Y       run-shell -b $HOME/dotfiles/tmux/scripts/capture_pane.sh
prefix	[	window	move window left, keep active window	bind-key -r -T prefix [       swap-window -d -t -1
prefix	\"	window	split window	bind-key    -T prefix \"      split-window
prefix	\#	buffer	list buffers	bind-key    -T prefix \#      list-buffers
prefix	\$	ui	rename session	bind-key    -T prefix \$      command-prompt -I "#S" "rename-session '%%'"
prefix	\%	window	split window horizontally	bind-key    -T prefix \%      split-window -h
prefix	\'	ui	select window by index	bind-key    -T prefix \'      command-prompt -T window-target -p index { select-window -t ":%%" }
prefix	\;	pane	last pane	bind-key    -T prefix \;      last-pane
prefix	\~	ui	show messages	bind-key    -T prefix \~      show-messages
prefix	]	window	move window right, keep active window	bind-key -r -T prefix ]       swap-window -d -t +1
prefix	c	buffer	copy mode	bind-key    -T prefix c       copy-mode
prefix	d	session	detach client	bind-key    -T prefix d       detach-client
prefix	f	ui	find window	bind-key    -T prefix f       command-prompt { find-window -Z "%%" }
prefix	g	pane	choose pane by number	bind-key    -T prefix g       display-panes
prefix	h	pane	focus pane left	bind-key -r -T prefix h       select-pane -L
prefix	i	ui	display message	bind-key    -T prefix i       display-message
prefix	j	pane	focus pane down	bind-key -r -T prefix j       select-pane -D
prefix	k	pane	focus pane up	bind-key -r -T prefix k       select-pane -U
prefix	l	pane	focus pane right	bind-key -r -T prefix l       select-pane -R
prefix	m	pane	mark pane	bind-key    -T prefix m       select-pane -m
prefix	n	window	next window	bind-key -r -T prefix n       next-window
prefix	o	pane	next pane	bind-key    -T prefix o       select-pane -t :.+
prefix	p	window	previous window	bind-key -r -T prefix p       previous-window
prefix	q	pane	show pane numbers	bind-key    -T prefix q       display-panes
prefix	r	pane	respawn pane	bind-key    -T prefix r       confirm-before -p "respawn-pane #P? (y/n)" "respawn-pane -k"
prefix	s	other	popup shell	bind-key    -T prefix s       display-popup -E -d "#{pane_current_path}" -h "80%" -w "90%" "exec $SHELL -l"
prefix	t	window	new window	bind-key    -T prefix t       new-window
prefix	v	buffer	paste	bind-key    -T prefix v       paste-buffer -p
prefix	w	other	window chooser (preview)	bind-key    -T prefix w       switch-client -T w
prefix	x	other	confirm kill pane	bind-key    -T prefix x       confirm-before -p "kill-pane #P? (y/n)" kill-pane
prefix	y	buffer	copy mode	bind-key    -T prefix y       copy-mode
prefix	z	pane	toggle pane zoom	bind-key    -T prefix z       resize-pane -Z
prefix	|	window	split window horizontally	bind-key    -T prefix |       split-window -h
root	DoubleClick1Pane	pane	mouse: select word	bind-key -T root DoubleClick1Pane       select-pane -t = \; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
root	M-MouseDown3Pane	ui	mouse: pane menu (alt)	bind-key -T root M-MouseDown3Pane       display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
root	M-MouseDown3Status	ui	mouse: window menu (alt)	bind-key -T root M-MouseDown3Status     display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
root	M-MouseDown3StatusLeft	ui	mouse: session menu (alt)	bind-key -T root M-MouseDown3StatusLeft display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
root	MouseDown1Pane	pane	mouse: focus pane	bind-key -T root MouseDown1Pane         select-pane -t = \; send-keys -M
root	MouseDown1Status	window	mouse: focus window	bind-key -T root MouseDown1Status       select-window -t =
root	MouseDown2Pane	pane	mouse: paste	bind-key -T root MouseDown2Pane         select-pane -t = \; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p }
root	MouseDown3Pane	other	mouse: pane menu	bind-key -T root MouseDown3Pane         if-shell -F -t = "#{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}" { select-pane -t = ; send-keys -M } { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
root	MouseDown3Status	ui	mouse: window menu	bind-key -T root MouseDown3Status       display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
root	MouseDown3StatusLeft	ui	mouse: session menu	bind-key -T root MouseDown3StatusLeft   display-menu -T "#[align=centre]#{session_name}" -t = -x M -y W Next n { switch-client -n } Previous p { switch-client -p } '' Renumber N { move-window -r } Rename n { command-prompt -I "#S" { rename-session "%%" } } '' "New Session" s { new-session } "New Window" w { new-window }
root	MouseDrag1Border	pane	mouse: resize pane	bind-key -T root MouseDrag1Border       resize-pane -M
root	MouseDrag1Pane	other	mouse: drag copy	bind-key -T root MouseDrag1Pane         if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -M }
root	S-Down	pane	focus pane down	bind-key -T root S-Down                 select-pane -D
root	S-Left	pane	focus pane left	bind-key -T root S-Left                 select-pane -L
root	S-Right	pane	focus pane right	bind-key -T root S-Right                select-pane -R
root	S-Up	pane	focus pane up	bind-key -T root S-Up                   select-pane -U
root	TripleClick1Pane	pane	mouse: select line	bind-key -T root TripleClick1Pane       select-pane -t = \; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -H ; send-keys -X select-line ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
root	WheelDownStatus	window	mouse: next window	bind-key -T root WheelDownStatus        next-window
root	WheelUpPane	other	mouse: scroll/copy	bind-key -T root WheelUpPane            if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e }
root	WheelUpStatus	window	mouse: previous window	bind-key -T root WheelUpStatus          previous-window
